Tumor Suppressor Genes,Oncogenes,Protein Kinases,Cell Differentiation Markers,Transcription Factors,Cytokines and Growth Factors
FANCD2,BIRC3,BCKDK,CCR6,ARID5A,BTC
FANCE,BRAF,BCR,CCR7,ARID5B,C3
FANCF,BRD3,BLK,CCR8,ARIH2,C5
FANCG,BRD4,BMP2K,CCR9,ARNT,CALCA
FAS,BTG1,BMPR1A,CD101,ARNT2,CALCB
FBXW7,CANT1,BMPR1B,CD109,ARX,CAMP
FH,CARD11,BMPR2,CD14,ASCL1,CAT
GATA3,CARS1,BMX,CD151,ASCL2,CCK
HNF1A,CBFA2T3,BRAF,CD160,ASCL3,CCL1
KDM5C,CBFB,BRD2,CD163,ASH1L,CCL11
KDM6A,CCDC6,BRD3,CD164,ASH2L,CCL13
KLF6,CCNB1IP1,BRD4,CD177,ATF1,CCL14
MAP2K4,CCND1,BRDT,CD180,ATF2,CCL15
MEN1,CCND2,BRSK1,CD19,ATF3,CCL16
MLH1,CCND3,BRSK2,CD1A,ATF4,CCL17
MSH2,CD74,BTK,CD1B,ATF5,CCL18
MSH6,CD79A,BUB1,CD1C,ATF6,CCL19
MUTYH,CD79B,BUB1B,CD1D,ATF6B,CCL2
NBN,CDH11,CAMK1,CD1E,ATF7,CCL20
NF1,CDK4,CAMK1D,CD2,ATF7IP,CCL21
NF2,CDK6,CAMK1G,CD200,ATG4B,CCL22
PALB2,CDX2,CAMK2A,CD207,ATN1,CCL23
PHOX2B,CEBPA,CAMK2B,CD209,ATOH1,CCL24
PIK3R1,CEP43,CAMK2D,CD22,ATOH7,CCL25
PMS1,CHCHD7,CAMK2G,CD226,ATRX,CCL26
PMS2,CHIC2,CAMK4,CD244,ATXN2,CCL27
PRF1,CHN1,CAMKK1,CD247,BACH1,CCL28
PTCH1,CIC,CAMKK2,CD248,BACH2,CCL3
PTEN,CIITA,CAMKV,CD27,BANP,CCL3L1
RB1,CLP1,CASK,CD274,BARHL1,CCL3L3
RECQL4,CLTC,CDC42BPA,CD276,BARHL2,CCL4
SBDS,CLTCL1,CDC42BPB,CD28,BARX1,CCL4L2
SDHAF2,CNBP,CDC42BPG,CD300A,BARX2,CCL5
SDHB,CNTRL,CDC7,CD300C,BATF,CCL7
SDHC,COL1A1,CDK1,CD302,BATF3,CCL8
SDHD,COX6C,CDK10,CD320,BAZ1A,CCN1
SETD2,CREB1,CDK11A,CD33,BAZ1B,CCN2
SMAD4,CREB3L2,CDK12,CD34,BAZ2A,CCN3
SMARCA4,CREBBP,CDK13,CD36,BAZ2B,CD320
SMARCB1,CRLF2,CDK14,CD37,BCL11A,CD40LG
SOCS1,CRTC1,CDK15,CD38,BCL11B,CD70
STK11,CRTC3,CDK16,CD3D,BCL3,CDNF
SUFU,CTNNB1,CDK17,CD3E,BCL6,CER1
TET2,DDIT3,CDK18,CD3G,BCLAF1,CGA
TNFAIP3,DDX10,CDK19,CD4,BHLHE22,CGB1
TP53,DDX5,CDK2,CD40,BHLHE40,CGB2
TSC1,DDX6,CDK20,CD40LG,BHLHE41,CGB3
TSC2,DEK,CDK3,CD44,BLOC1S1,CGB5
VHL,DUX4,CDK4,CD46,BLZF1,CGB7
WRN,EGFR,CDK5,CD47,BMAL1,CGB8
WT1,EIF4A2,CDK6,CD48,BMI1,CHGA
XPA,ELF4,CDK7,CD5,BNC1,CHGB
XPC,ELK4,CDK8,CD52,BNC2,CKLF
,ELL,CDK9,CD53,BORCS8-MEF2B,CLCF1
,ELN,CDKL1,CD55,BPTF,CLEC11A
,EML4,CDKL2,CD58,BRD1,CMA1
,EPS15,CDKL3,CD59,BRD2,CMTM1
,ERBB2,CDKL4,CD5L,BRD3,CMTM2
,ERC1,CDKL5,CD6,BRD4,CMTM3
,ERG,CHEK1,CD63,BRD7,CMTM4
,ETV1,CHEK2,CD68,BRDT,CMTM5
,ETV4,CHUK,CD69,BRF1,CMTM6
,ETV5,CILK1,CD7,BRPF1,CMTM7
,ETV6,CIT,CD70,BRPF3,CMTM8
,EWSR1,CLK1,CD72,BSX,CNTF
,FCGR2B,CLK2,CD74,BTAF1,CORT
,FCRL4,CLK3,CD79A,BTBD3,CRH
,FEV,CLK4,CD79B,BTF3,CRIPTO
,FGFR1,CLUL1,CD81,BTF3P11,CRIPTO3
,FGFR2,COQ8A,CD82,BTF3P12,CSF1
,FGFR3,CSF1R,CD83,BTF3P13,CSF2
,FIP1L1,CSK,CD84,C22ORF31,CSF3
,FLI1,CSNK1A1,CD86,CAND1,CSH1
,FLT3,CSNK1A1L,CD8A,CASK,CSH2
,FNBP1,CSNK1D,CD8B,CASZ1,CSHL1
,FOXL2,CSNK1E,CD9,CBFA2T3,CSPG5
,FOXO1,CSNK1G1,CD93,CBX1,CTF1
,FOXO3,CSNK1G2,CD96,CBX2,CTSG
,FOXO4,CSNK1G3,CD99,CBX3,CX3CL1
,FOXP1,CSNK2A1,CDCP1,CBX4,CXCL1
,FSTL3,CSNK2A2,CDH1,CBX5,CXCL10
,FUS,DAPK1,CDH2,CBX6,CXCL11
,GAS7,DAPK2,CDH5,CBX7,CXCL12
,GATA1,DAPK3,CEACAM1,CBX8,CXCL13
,GATA2,DCLK1,CEACAM3,CCT4,CXCL14
,GMPS,DCLK2,CEACAM5,CDK7,CXCL16
,GNAQ,DCLK3,CEACAM6,CDK8,CXCL17
,GNAS,DDR1,CEACAM8,CDR2,CXCL2
,GOLGA5,DDR2,CLEC10A,CDX1,CXCL3
,GOPC,DMPK,CLEC4C,CDX2,CXCL5
,GPHN,DSTYK,CLEC4M,CDX4,CXCL6
,H4C9,DYRK1A,CR1,CEBPA,CXCL8
,HERPUD1,DYRK1B,CR2,CEBPB,CXCL9
,HIP1,DYRK2,CRIPTO,CEBPD,DEFA1
,HLF,DYRK3,CRIPTO3,CEBPE,DEFA3
,HMGA1,DYRK4,CSF1R,CEBPG,DEFA5
,HMGA2,EEF2K,CSF2RA,CEBPZ,DEFB1
,HMGN2P46,EGFR,CSF2RB,CELF3,DEFB103B
,HNRNPA2B1,EIF2AK1,CSF3R,CERS2,DEFB104A
,HOOK3,EIF2AK2,CTLA4,CERS3,DEFB4A
,HOXA11,EIF2AK3,CXCR1,CERS4,DKK1
,HOXA13,EIF2AK4,CXCR2,CERS5,EBI3
,HOXA9,EPHA1,CXCR3,CERS6,EDN1
,HOXC11,EPHA10,CXCR4,CFAP20,EDN2
,HOXC13,EPHA2,CXCR5,CHD1,EDN3
,HOXD11,EPHA3,CXCR6,CHD1L,EGF
,HOXD13,EPHA4,DDR1,CHD2,ENDOU
,HRAS,EPHA5,DDR2,CHD3,EPGN
,HSP90AA1,EPHA6,DPP4,CHD4,EPO
,HSP90AB1,EPHA7,ENG,CHD5,EREG
,IDH1,EPHA8,ENPEP,CHD6,ESM1
,IDH2,EPHB1,ENPP3,CHMP3,FAM3B
,IKZF1,EPHB2,ENTPD1,CIAO1,FAM3C
,IL2,EPHB3,EPCAM,CIC,FAM3D
,IL21R,EPHB4,ERBB2,CIITA,FASLG
,IL6ST,EPHB6,F11R,CIR1,FGF1
,IRF4,ERBB2,F3,CITED1,FGF10
,ITK,ERBB3,FAS,CITED2,FGF11
,JAK1,ERBB4,FASLG,CLOCK,FGF12
,JAK2,ERN1,FCAR,CNBP,FGF13
,JAK3,ERN2,FCER2,CNOT3,FGF14
,JAZF1,FASTK,FCGR1A,CNOT4,FGF16
,JUN,FER,FCGR2A,CNOT8,FGF17
,KAT6A,FES,FCGR2B,CNPY3,FGF18
,KAT6B,FGFR1,FCGR2C,COPS2,FGF19
,KDM5A,FGFR2,FCGR3A,COPS5,FGF2
,KDR,FGFR3,FCRL5,CORO1A,FGF20
,KDSR,FGFR4,FGFR1,CREB1,FGF21
,KIAA1549,FGR,FGFR2,CREB3,FGF22
,KIT,FLT1,FGFR3,CREB3L1,FGF23
,KLK2,FLT3,FGFR4,CREB5,FGF3
,KMT2A,FLT4,FLT3,CREBBP,FGF4
,KNL1,FRK,FUT3,CREBL2,FGF5
,KRAS,FYN,FUT4,CREBZF,FGF6
,KTN1,GAK,FZD10,CREG1,FGF7
,LASP1,GRK1,FZD4,CREM,FGF7P3
,LCK,GRK2,FZD9,CRIP1,FGF7P6
,LCP1,GRK3,GGT1,CRIP2,FGF8
,LHFPL6,GRK4,GP1BA,CRX,FGF9
,LIFR,GRK5,GP1BB,CSRP1,FIGNL2
,LMO1,GRK6,GP5,CSRP2,FLT3LG
,LMO2,GRK7,GP9,CSRP3,FSHB
,LPP,GSK3A,GYPA,CTCF,GAL
,LYL1,GSK3B,GYPB,CTNNB1,GALP
,MAF,GUCY2C,GYPC,CUX1,GAST
,MAFB,GUCY2D,HMMR,CUX2,GCG
,MALAT1,GUCY2F,ICAM1,CUX2P1,GDF1
,MALT1,HASPIN,ICAM2,DACH1,GDF10
,MAML2,HCK,ICAM3,DBP,GDF11
,MDM2,HIPK1,ICAM4,DBX1,GDF15
,MDM4,HIPK2,ICOS,DBX2,GDF2
,MDS2,HIPK3,ICOSLG,DCP1A,GDF3
,MECOM,HIPK4,IFITM1,DDIT3,GDF5
,MET,HSPB8,IFNGR1,DEAF1,GDF6
,MITF,HUNK,IGF1R,DENND4A,GDF7
,MLF1,IGF1R,IGF2R,DEPDC7,GDF9
,MLLT1,IKBKB,IGLL1,DIDO1,GDNF
,MLLT10,IKBKE,IGSF8,DLX1,GH1
,MLLT11,ILK,IL10RA,DLX2,GH2
,MLLT3,IMPDH1P11,IL10RB,DLX3,GHRH
,MLLT6,IMPG1,IL12RB1,DLX4,GHRL
,MN1,INSR,IL13RA1,DLX5,GIP
,MNX1,INSRR,IL13RA2,DLX6,GKN1
,MPL,IRAK1,IL17RA,DMBX1,GMFB
,MRTFA,IRAK2,IL18R1,DMRT1,GMFG
,MSI2,IRAK3,IL18RAP,DMRT2,GNRH1
,MSN,IRAK4,IL1R1,DMRTA2,GNRH2
,MTCP1,ITK,IL1R2,DMRTC1,GPHA2
,MUC1,KALRN,IL2RA,DMTF1,GPHB5
,MYB,KDR,IL2RB,DPF1,GPI
,MYC,KIT,IL2RG,DPF2,GREM1
,MYCL,KSR1,IL3RA,DPF3,GREM2
,MYCN,KSR2,IL4R,DPRX,GRN
,MYH11,LATS1,IL5RA,DPRXP1,GRP
,MYH9,LATS2,IL6R,DPRXP2,GUCA2A
,NACA,LCK,IL6ST,DPRXP3,HAMP
,NCKIPSD,LIMK1,IL7R,DPRXP4,HBEGF
,NCOA1,LIMK2,IL9R,DPRXP5,HDGF
,NCOA2,LMTK2,INSR,DPRXP6,HGF
,NCOA4,LMTK3,ITGA1,DPRXP7,HTN3
,NFIB,LRRK1,ITGA2,DR1,IAPP
,NFKB2,LRRK2,ITGA2B,DRAP1,IFNA1
,NIN,LTK,ITGA3,DRGX,IFNA10
,NONO,LYN,ITGA4,DTX2,IFNA13
,NOTCH1,MAK,ITGA5,DUX4,IFNA14
,NOTCH2,MAP2K1,ITGA6,DUX4L8,IFNA16
,NPM1,MAP2K2,ITGAD,DUXA,IFNA17
,NR4A3,MAP2K3,ITGAE,DUXAP1,IFNA2
,NRAS,MAP2K4,ITGAL,DUXAP10,IFNA21
,NSD1,MAP2K5,ITGAM,DUXAP2,IFNA4
,NSD2,MAP2K6,ITGAV,DUXAP3,IFNA5
,NSD3,MAP2K7,ITGAX,DUXAP4,IFNA6
,NTRK1,MAP3K1,ITGB1,DUXAP5,IFNA7
,NTRK3,MAP3K10,ITGB2,DUXAP6,IFNA8
,NUMA1,MAP3K11,ITGB3,DUXAP7,IFNB1
,NUP214,MAP3K12,ITGB4,DUXAP8,IFNE
,NUP98,MAP3K13,JAG1,DUXAP9,IFNG
,NUTM1,MAP3K14,JAM2,DUXB,IFNK
,OLIG2,MAP3K15,KDR,E2F1,IFNL1
,OMD,MAP3K19,KEL,E2F2,IFNL2
,P2RY8,MAP3K2,KIR2DL1,E2F3,IFNL3
,PAFAH1B2,MAP3K20,KIR2DL2,E2F4,IFNW1
,PATZ1,MAP3K21,KIR2DL3,E2F5,IGF1
,PAX3,MAP3K3,KIR2DL4,E2F6,IGF2
,PAX5,MAP3K4,KIR2DL5A,E4F1,IL10
,PAX7,MAP3K5,KIR2DS1,EBF1,IL11
,PAX8,MAP3K6,KIR2DS2,EBF4,IL12A
,PBX1,MAP3K7,KIR2DS4,ECD,IL12B
,PCM1,MAP3K8,KIR2DS5,EED,IL13
,PCSK7,MAP3K9,KIR3DL1,EGLN2,IL15
,PDE4DIP,MAP4K1,KIR3DL2,EGR1,IL16
,PDGFB,MAP4K2,KIR3DP1,EGR2,IL17A
,PDGFRA,MAP4K3,KIR3DS1,EGR3,IL17B
,PDGFRB,MAP4K4,KIT,EGR4,IL17C
,PER1,MAP4K5,KLRB1,EHF,IL17D
,PICALM,MAPK1,KLRC1,ELF1,IL17F
,PIK3CA,MAPK10,KLRC2,ELF2,IL18
,PIM1,MAPK11,KLRD1,ELF3,IL19
,PLAG1,MAPK12,KLRK1,ELF4,IL1A
,PML,MAPK13,L1CAM,ELF5,IL1B
,POU2AF1,MAPK14,LAG3,ELK1,IL1F10
,POU5F1,MAPK15,LAIR1,ELK3,IL1RN
,PPARG,MAPK3,LAIR2,ELK4,IL2
,PRCC,MAPK4,LAMP1,EMX1,IL20
,PRDM16,MAPK6,LAMP2,EMX2,IL21
,PRRX1,MAPK7,LAMP3,EN1,IL22
,PSIP1,MAPK8,LEPR,EN2,IL23A
,PTPN11,MAPK9,LIFR,ENO1,IL24
,RABEP1,MAPKAPK2,LILRA1,ENTREP3,IL25
,RAD51B,MAPKAPK3,LILRA2,EOMES,IL26
,RAF1,MAPKAPK5,LILRA3,EP300,IL27
,RANBP17,MARK1,LILRA4,EP400,IL3
,RAP1GDS1,MARK2,LILRA5,EPAS1,IL31
,RARA,MARK3,LILRA6,ERCC2,IL32
,RBM15,MARK4,LILRB1,ERCC3,IL33
,REL,MAST1,LILRB2,ERCC6,IL34
,RET,MAST2,LILRB3,ERF,IL36A
,RHOH,MAST3,LILRB4,ERG,IL36B
,RNF213,MAST4,LILRB5,ERGIC2,IL36G
,RNF217-AS1,MASTL,LILRP1,ERMP1,IL36RN
,ROS1,MATK,LILRP2,ESR1,IL37
,RPL22,MELK,LRP1,ESR2,IL4
,RPN1,MERTK,LY75,ESRRA,IL5
,RUNX1,MET,LY9,ESRRB,IL6
,RUNX1T1,MINK1,MCAM,ESRRG,IL6ST
,SEPTIN5,MKNK1,MELTF,ESX1,IL7
,SEPTIN6,MKNK2,MME,ETS1,IL9
,SEPTIN9,MLKL,MPL,ETS2,INHA
,SET,MOK,MRC1,ETV1,INHBA
,SFPQ,MOS,MRC2,ETV2,INHBB
,SH3GL1,MST1R,MS4A1,ETV3,INHBC
,SLC45A3,MTOR,MSR1,ETV4,INHBE
,SMO,MUSK,MST1R,ETV5,INS
,SPECC1,MYLK,MUC1,ETV6,INS-IGF2
,SRGAP3,MYLK2,NCAM1,ETV7,INSL3
,SRSF3,MYLK3,NCR1,EVX1,INSL4
,SS18,MYLK4,NCR2,EVX2,INSL5
,SS18L1,MYO3A,NCR3,EYA1,INSL6
,SSX1,MYO3B,NECTIN1,EYA2,JAG1
,SSX2,NEK1,NECTIN2,EYA3,JAG2
,SSX4,NEK10,NECTIN3,EYA4,KITLG
,STIL,NEK11,NGFR,EZH1,KL
,SUZ12,NEK2,NRP1,EZH2,LACRT
,SYK,NEK3,NT5E,FAM20C,LECT2
,TAF15,NEK4,PDCD1,FEM1A,LEFTY1
,TAL1,NEK5,PDCD1LG2,FEZF2,LEFTY2
,TAL2,NEK6,PDGFRA,FHL1,LEP
,TCEA1,NEK7,PDGFRB,FHL2,LHB
,TCF12,NEK8,PECAM1,FHL5,LIF
,TCF3,NEK9,PLAUR,FLI1,LRSAM1
,TCL1A,NIM1K,PLXNC1,FOS,LTA
,TCL6,NLK,PRNP,FOSB,LTB
,TET1,NPR1,PROCR,FOSL1,LTBP1
,TFE3,NPR2,PROM1,FOSL2,LTBP2
,TFEB,NRBP1,PSG1,FOXA1,LTBP3
,TFG,NRBP2,PTGDR2,FOXA2,LTBP4
,TFPT,NRK,PTGFRN,FOXA3,MANF
,TFRC,NTRK1,PTPRC,FOXB1,MDK
,THRAP3,NTRK2,PTPRJ,FOXC1,MIA
,TLX1,NTRK3,PVR,FOXC2,MIF
,TLX3,NUAK1,RABEP2,FOXD1,MLN
,TMPRSS2,NUAK2,REG1A,FOXD2,MSTN
,TNFRSF17,NUMBL,RETN,FOXD3,MYDGF
,TOP1,OBSCN,RETNLB,FOXD4,NAMPT
,TPM3,OXSR1,RHAG,FOXE1,NDP
,TPM4,PAK1,RHCE,FOXE3,NENF
,TPR,PAK2,RHD,FOXF1,NGF
,TRIM24,PAK3,RLN1,FOXF2,NMB
,TRIM27,PAK4,RLN2,FOXG1,NODAL
,TRIM33,PAK5,RLN3,FOXH1,NPFF
,TRIP11,PAK6,RNASE2,FOXI1,NPPA
,TSHR,PASK,S100A6,FOXJ1,NPPB
,TTL,PBK,SAA1,FOXJ2,NPPC
,USP6,PDGFRA,SAA2,FOXJ3,NPY
,ZBTB16,PDGFRB,SBDS,FOXK2,NRG1
,ZMYM2,PDIK1L,SCG2,FOXL1,NRG2
,ZNF331,PDK1,SCGB3A1,FOXL2,NRG3
,ZNF384,PDK2,SCT,FOXM1,NRG4
,ZNF521,PDK3,SDC1,FOXN1,NRTN
,,PDK4,SEC23B,FOXN2,NTF3
,,PDPK1,SECTM1,FOXN3,NTF4
,,PEAK1,SELE,FOXO1,NTS
,,PHKG1,SELL,FOXO3,NUDT6
,,PHKG2,SELP,FOXO4,OGN
,,PIK3R4,SELPLG,FOXP1,OSGIN1
,,PIM1,SEMA3A,FOXP2,OSM
,,PIM2,SEMA3B,FOXP3,OSTN
,,PIM3,SEMA3C,FOXQ1,OXT
,,PINK1,SEMA3D,FOXS1,PDGFA
,,PKDCC,SEMA3E,FUBP1,PDGFB
,,PKMYT1,SEMA3F,GABPA,PDGFC
,,PKN1,SEMA3G,GABPB1,PDGFD
,,PKN2,SEMA4A,GATA1,PDGFRA
,,PKN3,SEMA4B,GATA2,PDGFRB
,,PLK1,SEMA4C,GATA3,PDGFRL
,,PLK2,SEMA4D,GATA4,PDYN
,,PLK3,SEMA4D,GATA5,PENK
,,PLK4,SEMA4F,GATA6,PF4
,,PNCK,SEMA4G,GBX1,PF4V1
,,PRKAA1,SEMA5A,GBX2,PGF
,,PRKAA2,SEMA5B,GCM1,PLAU
,,PRKACA,SEMA6A,GCM2,PMCH
,,PRKACB,SEMA6B,GFI1,PNOC
,,PRKACG,SEMA6C,GFI1B,POMC
,,PRKCA,SEMA6D,GLI1,PPBP
,,PRKCB,SEMA7A,GLI2,PPBPP1
,,PRKCD,SEMA7A,GLI3,PPBPP2
,,PRKCE,SIGLEC1,GLIS1,PPY
,,PRKCG,SIGLEC5,GLIS2,PRL
,,PRKCH,SIGLEC6,GRHL1,PRLH
,,PRKCI,SIGLEC7,GSC,PROK1
,,PRKCQ,SIGLEC9,GSC2,PROK2
,,PRKCZ,SIRPA,GSX1,PSPN
,,PRKD1,SIRPB1,GSX2,PTH
,,PRKD2,SIRPG,GTF2A1,PTH2
,,PRKD3,SLAMF1,GTF2A1L,PTHLH
,,PRKDC,SLAMF7,GTF2A2,PTN
,,PRKG1,SLC3A2,GTF2B,PYY
,,PRKG2,SLC44A1,GTF2E1,QRFP
,,PRKX,SLC4A1,GTF2E2,RABEP1
,,PRKY,SLIT1,GTF2F1,RABEP2
,,PRPF4B,SLIT2,GTF2F2,REG1A
,,PSKH1,SLURP1,GTF2H1,RETN
,,PSKH2,SPN,GTF2H2,RETNLB
,,PTK2,SPP1,GTF2H3,RLN1
,,PTK2B,SST,GTF2H4,RLN2
,,PTK6,STC1,GTF2I,RLN3
,,PTK7,STC2,GTF3A,RNASE2
,,PXK,TAC1,GTF3C1,S100A6
,,RAF1,TEK,GTF3C2,SAA1
,,RET,TFRC,GTF3C3,SAA2
,,RIOK1,TG,GTF3C4,SBDS
,,RIOK2,TGFA,GTF3C5,SCG2
,,RIOK3,TGFB1,GTPBP1,SCGB3A1
,,RIPK1,TGFB2,HAND1,SCT
,,RIPK2,TGFB3,HAND2,SECTM1
,,RIPK3,THBD,HCFC2,SEMA3A
,,RIPK4,THPO,HDAC1,SEMA3B
,,RNASEL,THY1,HDAC2,SEMA3C
,,ROCK1,TLR1,HDAC4,SEMA3D
,,ROCK2,TLR10,HDX,SEMA3E
,,ROR1,TLR2,HES1,SEMA3F
,,ROR2,TLR3,HES2,SEMA3G
,,ROS1,TLR4,HES4,SEMA4A
,,RPS6KA1,TLR6,HES5,SEMA4B
,,RPS6KA2,TLR8,HES6,SEMA4C
,,RPS6KA3,TLR9,HES7,SEMA4D
,,RPS6KA4,TNC,HESX1,SEMA4F
,,RPS6KA5,TNF,HEXIM1,SEMA4G
,,RPS6KA6,TNFRSF10A,HEY1,SEMA5A
,,RPS6KB1,TNFRSF10B,HEY2,SEMA5B
,,RPS6KB2,TNFRSF10C,HEYL,SEMA6A
,,RPS6KC1,TNFRSF10D,HHEX,SEMA6B
,,RPS6KL1,TNFRSF11A,HIC1,SEMA6C
,,RYK,TNFRSF11B,HIC2,SEMA6D
,,SBK1,TNFRSF12A,HIF1A,SEMA7A
,,SBK2,TNFRSF13B,HIF3A,SLIT1
,,SCYL1,TNFRSF13C,HIRA,SLIT2
,,SCYL2,TNFRSF17,HIVEP1,SLURP1
,,SCYL3,TNFRSF1A,HIVEP2,SPP1
,,SGK1,TNFRSF1B,HLF,SST
,,SGK2,TNFRSF4,HLTF,STC1
,,SGK3,TNFRSF8,HLX,STC2
,,SIK1,TNFRSF9,HMBOX1,TAC1
,,SIK2,TNFSF10,HMG20B,TG
,,SIK3,TNFSF10,HMGA1,TGFA
,,SLC22A18,TNFSF11,HMGA2,TGFB1
,,SLK,TNFSF11,HMGB1,TGFB2
,,SMG1,TNFSF12,HMGB2,TGFB3
,,SNRK,TNFSF13,HMGN2,THPO
,,SPEG,TNFSF13,HMGXB3,TNC
,,SRC,TNFSF13B,HMX1,TNF
,,SRMS,TNFSF13B,HMX2,TNFRSF11B
,,SRPK1,TNFSF14,HMX3,TNFSF10
,,SRPK2,TNFSF14,HNF1A,TNFSF11
,,SRPK3,TNFSF15,HNF1B,TNFSF12
,,STK10,TNFSF18,HNF4A,TNFSF13
,,STK11,TNFSF4,HNF4G,TNFSF13B
,,STK16,TNFSF4,HOMEZ,TNFSF14
,,STK17A,TNFSF8,HOPX,TNFSF15
,,STK17B,TNFSF8,HOXA1,TNFSF18
,,STK19,TNFSF9,HOXA10,TNFSF4
,,STK24,TOR2A,HOXA11,TNFSF8
,,STK25,TRH,HOXA13,TNFSF9
,,STK26,TSHB,HOXA2,TOR2A
,,STK3,TSLP,HOXA3,TRH
,,STK31,TSPAN7,HOXA4,TSHB
,,STK32A,TXLNA,HOXA5,TSLP
,,STK32B,TYMP,HOXA6,TXLNA
,,STK32C,UCN,HOXA7,TYMP
,,STK33,UCN2,HOXA9,UCN
,,STK35,UCN3,HOXB1,UCN2
,,STK36,UTS2,HOXB13,UCN3
,,STK38,UTS2B,HOXB2,UTS2
,,STK38L,VCAM1,HOXB3,UTS2B
,,STK39,VEGFA,HOXB4,VEGFA
,,STK4,VEGFB,HOXB5,VEGFB
,,STK40,VEGFC,HOXB6,VEGFC
,,STKLD1,VEGFD,HOXB7,VEGFD
,,STRADA,VGF,HOXB8,VGF
,,STRADB,VIP,HOXB9,VIP
,,STYK1,XCL1,HOXC10,XCL1
,,SYK,XCL2,HOXC11,XCL2
,,TAF1,,HOXC12,
,,TAF1L,,HOXC13,
,,TAOK1,,HOXC4,
,,TAOK2,,HOXC5,
,,TAOK3,,HOXC6,
,,TBCK,,HOXC8,
,,TBK1,,HOXC9,
,,TEC,,HOXD1,
,,TEK,,HOXD10,
,,TESK1,,HOXD11,
,,TESK2,,HOXD12,
,,TEX14,,HOXD13,
,,TGFBR1,,HOXD3,
,,TGFBR2,,HOXD4,
,,TIE1,,HOXD8,
,,TLK1,,HOXD9,
,,TLK2,,HR,
,,TNIK,,HSF1,
,,TNK1,,HSF2,
,,TNK2,,HSF2BP,
,,TNNI3K,,HSF4,
,,TP53RK,,HSFX1,
,,TRIB1,,HSFY1,
,,TRIB2,,ID1,
,,TRIB3,,ID2,
,,TRIM24,,ID3,
,,TRIM28,,ID4,
,,TRIM33,,IER2,
,,TRIO,,IFT172,
,,TRPM6,,IGHMBP2,
,,TRPM7,,IKZF1,
,,TRRAP,,IKZF2,
,,TSSK1B,,IKZF3,
,,TSSK2,,IKZF5,
,,TSSK3,,ILF2,
,,TSSK4,,ILF3,
,,TSSK6,,INSM1,
,,TTBK1,,INSM2,
,,TTBK2,,INTS4,
,,TTK,,IRF1,
,,TTN,,IRF2,
,,TWF1,,IRF3,
,,TWF2,,IRF4,
,,TXK,,IRF5,
,,TYK2,,IRF6,
,,TYRO3,,IRF7,
,,UHMK1,,IRF8,
,,ULK1,,IRF9,
,,ULK2,,IRX1,
,,ULK3,,IRX1P1,
,,ULK4,,IRX2,
,,VRK1,,IRX3,
,,VRK2,,IRX4,
,,VRK3,,IRX5,
,,WEE1,,IRX6,
,,WEE2,,ISL1,
,,WNK1,,ISL2,
,,WNK2,,ISX,
,,WNK3,,JARID2,
,,WNK4,,JMJD4,
,,ZAP70,,JUN,
,,,,JUNB,
,,,,JUND,
,,,,KAT2A,
,,,,KAT5,
,,,,KAT6A,
,,,,KAT6B,
,,,,KAT7,
,,,,KCNIP3,
,,,,KDM3B,
,,,,KDM4C,
,,,,KDM4D,
,,,,KDM5C,
,,,,KEAP1,
,,,,KIAA0040,
,,,,KLF1,
,,,,KLF10,
,,,,KLF11,
,,,,KLF12,
